"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Pyroptosis_ccRCC_Prognosis_35308143","Pyroptosis_ccRCC_Prognosis_35308143","3/100","46/14739",0.0652173913043478,9.61239130434783,4.83516168291768,0.00372343994473994,0.00744687988947988,0.0024796270308687,"BECN1/EGFR/ANO6",3
"Efferocytosis_Pan Cancer","Efferocytosis_Pan Cancer","4/100","102/14739",0.0392156862745098,5.78,4.00373677176841,0.00510187117099948,0.00999966749515899,0.00332964223791545,"ALOX12/ALOX15B/HMGB1/SIRT1",4
"Immunogenic Cell Death_BLCA_38023241","Immunogenic Cell Death_BLCA_38023241","2/100","18/14739",0.111111111111111,16.3766666666667,5.39502382346845,0.00649626908189093,0.0122429686543329,0.00407660610402063,"HMGB1/TLR4",2
"Immunogenic Cell Death_LUAD_38171413","Immunogenic Cell Death_LUAD_38171413","2/100","18/14739",0.111111111111111,16.3766666666667,5.39502382346845,0.00649626908189093,0.0122429686543329,0.00407660610402063,"IFNG/TLR4",2
"Apoptosis_OS_Prognosis_35576501","Apoptosis_OS_Prognosis_35576501","3/100","58/14739",0.0517241379310345,7.62362068965517,4.17729553892088,0.00713805701195882,0.0131986714560748,0.00439483152672738,"HMOX1/TGFBR1/TLR4",3
"Disulfidptosis_Up_38035663","Disulfidptosis_Up_38035663","2/100","22/14739",0.0909090909090909,13.3990909090909,4.81011113244568,0.0096368522247224,0.0174891021856073,0.00582343896620652,"G6PD/PGD",2
"Entosis_GeneCards","Entosis_GeneCards","2/100","23/14739",0.0869565217391304,12.8165217391304,4.68729467882839,0.0105083348016497,0.0187239420102121,0.00623461012155292,"TP53/MAP1LC3A",2
"Efferocytosis_BLCA_Prognosis_40481075","Efferocytosis_BLCA_Prognosis_40481075","2/100","28/14739",0.0714285714285714,10.5278571428571,4.17077465261852,0.0153592863559271,0.0268787511228725,0.00894996009461918,"ALOX5/MAPK3",2
"Alkaliptosis_GeneCards","Alkaliptosis_GeneCards","1/100","3/14739",0.333333333333333,49.13,6.89049232495386,0.020217739885362,0.0347603247151838,0.0115743293895886,"HMGB1",1
"Anoikis_SS_41255601","Anoikis_SS_41255601","2/100","35/14739",0.0571428571428571,8.42228571428571,3.63343599258781,0.0234471882603955,0.0396176629227372,0.0131917030140156,"MAPK3/IFNG",2
"NETosis_LUAD_Prognosis_41135717","NETosis_LUAD_Prognosis_41135717","1/100","4/14739",0.25,36.8475,5.92621453990756,0.0268666423019929,0.0446259482304288,0.0148593382936981,"ATG7",1
